user_id,question_id,correct,time_taken,confidence,attempts,timestamp
1,1,1,8,high,1,2026-03-12
1,2,0,12,high,1,2026-03-12
1,2,1,10,medium,2,2026-03-12
2,3,1,6,low,1,2026-03-12
2,4,0,15,medium,1,2026-03-12
2,4,1,13,medium,2,2026-03-12
3,5,1,7,high,1,2026-03-12
3,6,0,14,low,1,2026-03-12
3,6,1,12,medium,2,2026-03-12
4,7,1,9,medium,1,2026-03-12
4,8,0,11,high,1,2026-03-12
4,8,1,10,medium,2,2026-03-12
5,9,1,8,high,1,2026-03-12
5,10,1,7,medium,1,2026-03-12
5,11,0,16,low,1,2026-03-12
5,11,1,14,medium,2,2026-03-12
6,12,1,9,high,1,2026-03-12
6,13,0,14,medium,1,2026-03-12
6,13,1,11,medium,2,2026-03-12
7,14,1,7,high,1,2026-03-12
7,15,0,16,low,1,2026-03-12
7,15,1,13,medium,2,2026-03-12
8,16,1,6,high,1,2026-03-12
8,17,1,8,medium,1,2026-03-12
8,18,0,12,high,1,2026-03-12
8,18,1,10,medium,2,2026-03-12
9,19,1,9,medium,1,2026-03-12
9,20,0,15,high,1,2026-03-12
9,20,1,12,medium,2,2026-03-12
10,21,1,7,high,1,2026-03-12
10,22,0,18,low,1,2026-03-12
10,22,1,14,medium,2,2026-03-12
11,23,1,8,high,1,2026-03-12
11,24,0,13,medium,1,2026-03-12
11,24,1,11,medium,2,2026-03-12
12,25,1,6,medium,1,2026-03-12
12,26,1,7,high,1,2026-03-12
12,27,0,12,high,1,2026-03-12
12,27,1,10,medium,2,2026-03-12
13,28,1,9,medium,1,2026-03-12
13,29,0,15,low,1,2026-03-12
13,29,1,12,medium,2,2026-03-12
14,30,1,8,high,1,2026-03-12
14,31,0,17,high,1,2026-03-12
14,31,1,13,medium,2,2026-03-12
15,32,1,7,medium,1,2026-03-12
15,33,1,6,high,1,2026-03-12
15,34,0,14,medium,1,2026-03-12
15,34,1,11,medium,2,2026-03-12now
